Date,Open,High,Low,Close,Adj Close,Volume
2020-08-17,32505.953125,33094.125,31625.640625,32106.12890625,32106.12890625,988683929414
2020-08-18,32116.47265625,32333.236328125,31329.63671875,31595.837890625,31595.837890625,893352502983
2020-08-19,31601.005859375,31846.279296875,29742.5859375,30473.322265625,30473.322265625,984933863083
2020-08-20,30495.447265625,31398.447265625,30288.826171875,31228.466796875,31228.466796875,753118465135
2020-08-21,31206.642578125,31400.00390625,29030.69140625,29156.96484375,29156.96484375,882801755046
2020-08-22,29149.828125,29706.96484375,28684.033203125,29659.650390625,29659.650390625,759172277244
2020-08-23,29639.24609375,29708.75,28850.763671875,29323.330078125,29323.330078125,609663503012
2020-08-24,29345.392578125,30372.435546875,29168.248046875,30281.75,30281.75,766336886186
2020-08-25,30276.369140625,30310.21875,27792.986328125,28507.623046875,28507.623046875,922667651705
2020-08-26,28505.87109375,29094.45703125,28138.357421875,28699.380859375,28699.380859375,740185392764
2020-08-27,28710.0546875,29216.759765625,27677.29296875,28228.435546875,28228.435546875,771514702918
2020-08-28,28228.208984375,29113.2734375,28208.544921875,28949.720703125,28949.720703125,666981239426
2020-08-29,28936.0390625,29662.115234375,28742.236328125,29245.658203125,29245.658203125,641900288974
2020-08-30,29223.369140625,31346.759765625,29222.76171875,31327.95703125,31327.95703125,819913502862
2020-08-31,31336.2421875,32206.94921875,30871.787109375,31951.298828125,31951.298828125,938148933150
2020-09-01,31936.22265625,35596.84375,31807.505859375,34856.44140625,34856.44140625,1378233298560
2020-09-02,34853.2265625,35068.51171875,31106.615234375,32234.177734375,32234.177734375,1442482439396
2020-09-03,32248.7890625,32866.4375,27994.509765625,28328.142578125,28328.142578125,1441325503070
2020-09-04,28254.669921875,29439.03515625,27241.41796875,28437.1875,28437.1875,1226661894348
2020-09-05,28422.337890625,28871.62109375,23202.517578125,24556.52734375,24556.52734375,2188599945485
2020-09-06,24561.982421875,26355.904296875,23368.60546875,25898.11328125,25898.11328125,2026020348912
2020-09-07,25904.5625,26253.546875,23970.97265625,25902.193359375,25902.193359375,1598434124864
2020-09-08,25941.029296875,26115.044921875,24250.384765625,24910.662109375,24910.662109375,1327532512613
2020-09-09,24927.103515625,26345.43359375,24502.15234375,25746.037109375,25746.037109375,1066764322616
2020-09-10,25769.451171875,27673.771484375,25746.1640625,27068.208984375,27068.208984375,2310538990090
2020-09-11,27069.4296875,27673.482421875,26126.427734375,27531.3203125,27531.3203125,2005634333323
2020-09-12,27523.95703125,28474.96875,27027.7578125,28448.859375,28448.859375,976899885321
2020-09-13,28473.5625,28579.404296875,26035.67578125,26861.662109375,26861.662109375,1102616155755
2020-09-14,26871.18359375,28225.7109375,26274.31640625,27691.404296875,27691.404296875,1287187301626
2020-09-15,27682.974609375,27979.818359375,26766.8984375,26855.943359375,26855.943359375,1188114109509
2020-09-16,26848.93359375,27389.291015625,26255.61328125,26905.93359375,26905.93359375,1184734204757
2020-09-17,26909.8671875,28985.34765625,26828.876953125,28625.455078125,28625.455078125,1464280150091
2020-09-18,28648.875,28837.853515625,27740.92578125,28293.130859375,28293.130859375,1038518329531
2020-09-19,28269.365234375,28492.748046875,27877.935546875,28379.98046875,28379.98046875,813355918015
2020-09-20,28383.92578125,28383.92578125,27021.87109375,27285.390625,27285.390625,903907305348
2020-09-21,27310.931640625,27537.240234375,24741.37890625,25148.63671875,25148.63671875,1280165382980
2020-09-22,25144.056640625,25467.537109375,24784.646484375,25322.103515625,25322.103515625,935885892505
2020-09-23,25330.875,25426.92578125,23438.685546875,23653.41015625,23653.41015625,888852098327
2020-09-24,23655.830078125,25982.900390625,23484.642578125,25827.064453125,25827.064453125,995105970878
2020-09-25,25827.54296875,26382.34375,24999.8515625,25954.15234375,25954.15234375,903133523977
2020-09-26,25981.376953125,26234.119140625,25656.98046875,26160.763671875,26160.763671875,813403177511
